ID,DLC,DATA,TIMESTAMP,Release Time,Period,Jitter
0XA1,2,30 80,161.3976,161.39745784966678,5,0.0
0XA4,2,cc 00,162.1976,162.19704686403955,5,0.0
0XA5,1,20,162.3031,162.30278576353226,5,0.0
0XB2,1,25,163.1016,163.10147569319332,10,0.0
0XA0,1,d7,163.4446,163.44421851525047,5,0.0
0XA3,1,85,163.6536,163.6530992777164,5,0.0
0XB4,2,aa 7c,166.1191,166.11897084814146,10,0.0
0XA1,2,30 80,166.3976,166.39745784966678,5,0.0
0XA4,2,cc 00,167.1976,167.19704686403955,5,0.0
0XA5,1,20,167.3031,167.30278576353226,5,0.0
0XA0,1,d7,168.4446,168.44421851525047,5,0.0
0XA3,1,85,168.6536,168.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,170.4052,170.40484378180778,10,0.0
0XB3,2,07 2f,170.6231,170.62279588021545,10,0.0
0XA1,2,30 80,171.3976,171.39745784966678,5,0.0
0XA4,2,cc 00,172.1976,172.19704686403955,5,0.0
0XA5,1,20,172.3031,172.30278576353226,5,0.0
0XB2,1,25,173.1016,173.10147569319332,10,0.0
0XA0,1,d7,173.4446,173.44421851525047,5,0.0
0XA3,1,85,173.6536,173.6530992777164,5,0.0
0XB4,2,aa 7c,176.1191,176.11897084814146,10,0.0
0XA1,2,30 80,176.3976,176.39745784966678,5,0.0
0XA4,2,cc 00,177.1976,177.19704686403955,5,0.0
0XA5,1,20,177.3031,177.30278576353226,5,0.0
0XA0,1,d7,178.4446,178.44421851525047,5,0.0
0XA3,1,85,178.6536,178.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,180.4052,180.40484378180778,10,0.0
0XB3,2,07 2f,180.6231,180.62279588021545,10,0.0
0XA1,2,30 80,181.3976,181.39745784966678,5,0.0
0XA4,2,cc 00,182.1976,182.19704686403955,5,0.0
0XA5,1,20,182.3031,182.30278576353226,5,0.0
0XB2,1,25,183.1016,183.10147569319332,10,0.0
0XA0,1,d7,183.4446,183.44421851525047,5,0.0
0XA3,1,85,183.6536,183.6530992777164,5,0.0
0XB4,2,aa 7c,186.1191,186.11897084814146,10,0.0
0XA1,2,30 80,186.3976,186.39745784966678,5,0.0
0XA4,2,cc 00,187.1976,187.19704686403955,5,0.0
0XA5,1,20,187.3031,187.30278576353226,5,0.0
0XA0,1,d7,188.4446,188.44421851525047,5,0.0
0XA3,1,85,188.6536,188.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,190.4052,190.40484378180778,10,0.0
0XB3,2,07 2f,190.6231,190.62279588021545,10,0.0
